# Generated by build_pictures.py. Columns: polish <TAB> english <TAB> photo search phrase (empty: no picture).
wstawać	to get up	person getting up from bed
siadać	to sit down	person sitting down
stać	to stand	person standing by window
chodzić	to walk	person walking in park
jechać	to travel, to drive	person riding bus
biegać	to run	person jogging in park
pływać	to swim	person swimming in lake
latać	to fly	birds flying in sky
otwierać	to open	person opening door
zamykać	to close	person closing window
zaczynać	to start	
kończyć	to finish	
czekać	to wait	
szukać	to look for	
pokazywać	to show	person showing photo
słuchać	to listen	person listening to music
słyszeć	to hear	
patrzeć	to look	person looking at dog
kochać	to love	
lubić	to like	
nienawidzić	to hate	
bać się	to be afraid	
śmiać się	to laugh	people laughing
płakać	to cry	crying child
cieszyć się	to enjoy	
martwić się	to worry	
dziękować	to thank you	person thanking
prosić	to ask, to request	person asking question
przepraszać	to apologize	apologizing person
witać	to welcome	person welcoming guests
żegnać	to say goodbye	waving goodbye
dzwonić	to call	person on phone
pisać wiadomość	write a message	typing text message
spotykać	to meet	two people meeting
poznawać	to get to know	students meeting new class
zapraszać	to invite	invitation card
pomoc	help	
problem	problem	
sprawa	matter, affair	
powód	reason	
wynik	result	sports scoreboard
przykład	example	
rzecz	thing	personal belonging
część	part	part of a house
grupa	group	group of people
liczba	number	number on screen
poziom	level	level gauge
stan	state, condition	
zmiana	change	before and after change
możliwość	possibility	
potrzeba	need	
pomysł	idea	
plan	plan	
cel	objective	
wybór	choice	
decyzja	decision	
prawo	law, right	
władza	power	
rząd	government	
państwo	state, country	country state map
firma	business	office building
pracownik	employee	office worker
szef	boss	business boss
klient	client	customer in line
umowa	contract	signed contract
spotkanie	meeting	business meeting
projekt	design	house design blueprint
zadanie	task	homework assignment
wiadomość	message	text message on phone
gazeta	newspaper	newspaper front page
telewizja	tv	television screen
radio	radio	radio receiver
film	movie	movie theater screen
muzyka	music	
piosenka	song	person singing song
gra	game	board game
sport	sport	
mecz	match	soccer match
drużyna	team	sports team
zwierzę	animal	wild animal
pies	dog	dog
kot	cat	cat
ptak	bird	bird on branch
drzewo	tree	tree in forest
kwiat	flower	flower in bloom
las	forest	forest trees
góra	mountain	mountain peak
morze	sea	ocean sea
rzeka	river	river flowing
jezioro	lake	lake landscape
pole	field	field of crops
niebo	sky	blue sky
słońce	sun	sun in sky
księżyc	moon	full moon
gwiazda	star	star in night sky
deszcz	rain	rain falling
śnieg	snow	snow falling
wiatr	wind	wind blowing trees
chmura	cloud	cloud in sky
pogoda	weather	
ciepło	warmth, warm	
zimno	cold	
gorąco	hot	
ciepły	warm	warm sweater
zimny	cold	glass of cold water
gorący	hot	cup of hot tea
biały	white	white shirt
czarny	black	black cat
czerwony	red	red color swatch
zielony	green	green grass
niebieski	blue	blue backpack
żółty	yellow	yellow flower
szary	gray	gray coat
brązowy	brown	brown table
różowy	pink	pink backpack
pomarańczowy	orange	orange juice
długi	long	long table
krótki	short	short film reel
wysoki	tall	tall man
niski	low, short	short table
szeroki	wide	wide road
wąski	narrow	narrow hallway
gruby	fat	fat cat
cienki	thin	thin book
ciężki	heavy	heavy backpack
lekki	light (weight)	light box
mocny	strong	strong voice
słaby	weak	
stary	old	old dog
młody	young	young woman
piękny	beautiful	beautiful flower
brzydki	ugly	ugly house
ładny	pretty	pretty sweater
miły	nice	friendly neighbor
zły	bad	
wesoły	cheerful	cheerful child
smutny	sad	sad person
szczęśliwy	happy	happy woman
zmęczony	tired	tired person
głodny	hungry	hungry person
spragniony	thirsty	thirsty runner
chory	sick	sick woman
zdrowy	healthy	healthy man
ważny	important	
ciekawy	interesting	
nudny	boring	
łatwy	easy	
trudny	difficult	
możliwy	possible	
prawdziwy	true	
pewny	certain	
gotowy	ready	
wolny	free	
zajęty	occupied	
otwarty	open	open store
zamknięty	closed	closed store
pusty	empty	empty glass
pełny	full	full cup
czysty	clean	clean table
brudny	dirty	dirty shoes
głowa boli	my head hurts	
lekarz	doctor	doctor in office
szpital	hospital	hospital building
apteka	pharmacy	pharmacy store
lekarstwo	medicine	medicine pill bottle
ból	pain	
choroba	disease	
zdrowie	health	
ciało	body	human body
serce	heart	human heart
noga	leg	human leg
palec	finger	human finger
ucho	ear	human ear
nos	nose	human nose
usta	mouth	human mouth
ząb	tooth	human tooth
włosy	hair	human hair
twarz	face	human face
plecy	back	human back
brzuch	belly	human belly
krew	blood	blood drop
skóra	skin	human skin
kość	bone	human bone
ubranie	clothes	clothes pile
koszula	shirt	white shirt
spodnie	pants	pair of pants
sukienka	dress	red dress
spódnica	skirt	skirt on woman
kurtka	jacket	person wearing jacket
płaszcz	coat	winter coat
sweter	sweater	warm sweater
buty	shoes	pair of shoes
czapka	hat	red hat
szalik	scarf	long scarf
rękawiczki	gloves	winter gloves
skarpetki	socks	pair of socks
pokój	room	hotel room
kuchnia	kitchen	kitchen interior
łazienka	bathroom	bathroom interior
sypialnia	bedroom	bedroom interior
salon	living room	living room sofa
okno	window	window in house
drzwi	door	closed door
ściana	wall	interior wall
podłoga	floor	floor with ball
sufit	ceiling	ceiling lamp
stół	table	dining table
krzesło	chair	wooden chair
łóżko	bed	bed with cat
szafa	wardrobe	wardrobe closet
lampa	lamp	table lamp
lodówka	refrigerator	refrigerator open
kuchenka	stove	kitchen stove
zlew	sink	kitchen sink
talerz	plate	ceramic plate
kubek	mug	coffee mug
szklanka	glass	glass of water
widelec	fork	table fork
nóż	knife	kitchen knife
łyżka	spoon	spoon on table
garnek	pot	cooking pot
patelnia	frying pan	frying pan
komputer	computer	desktop computer
telefon	phone	smartphone phone
internet	internet	
strona internetowa	website	website on computer screen
hasło	password	
plik	file	computer file icon
program	programme	
ekran	screen	computer screen
klawiatura	keyboard	computer keyboard
myszka	mouse	computer mouse
drukarka	printer	printer printing photo
biuro	office	office workspace
dokument	document	signed document
podpis	signature	signature on paper
list	letter	letter in envelope
koperta	envelope	paper envelope
paczka	package	delivery package
poczta	post	post office building
bank	bank	bank building
konto	account	
karta	card	bank card
gotówka	cash	cash money
rachunek	bill	restaurant bill
podatek	tax	tax form
kredyt	loan	bank loan
oszczędzać	to save (money)	saving money jar
zarabiać	to earn money	person earning money
wydawać	to spend	paying money
lotnisko	airport	airport terminal
dworzec	station	train station
przystanek	stop	bus stop
bilet	ticket	train ticket
bagaż	luggage	travel luggage
walizka	suitcase	blue suitcase
paszport	passport	passport document
hotel	hotel	hotel building
recepcja	reception	hotel reception desk
klucz	key	metal key
rezerwacja	reservation	hotel reservation
wakacje	holidays	vacation beach
podróż	journey	travel journey
wycieczka	trip	group tour bus
zwiedzać	to explore	tourist sightseeing
mapa	map	road map
lewo	left	
prawo	right (direction)	
prosto	straight	
blisko	close	
daleko	far	
północ	midnight	
południe	south	southern compass direction
wschód	east	east sunrise
zachód	west	west sunset
policja	police	police car
policjant	policeman	policeman uniform
straż pożarna	fire brigade	fire truck
pogotowie	emergency service	ambulance vehicle
wypadek	accident	car accident
niebezpieczny	dangerous	danger warning sign
bezpieczny	safe	safe place
ratować	to rescue	rescue worker
uwaga	attention	
sąd	court	court building
adwokat	advocate	lawyer in suit
świadek	witness	court witness
kara	penalty	
wina	guilt, fault	
kradzież	theft	shoplifting theft
przestępstwo	offense	
wybory	elections	
prezydent	president	political leader
minister	minister	government minister
partia	party (political)	political party
głosować	to vote	
obywatel	citizen	citizen standing
granica	border	border crossing sign
uniwersytet	university	university building
wykład	lecture	classroom lecture
profesor	professor	professor in classroom
studia	studies	
dyplom	diploma	graduation diploma
stopień	degree	
biblioteka	library	library interior
sala	hall, room	large meeting hall
tablica	board	classroom blackboard
kreda	chalk	white chalk
plecak	backpack	school backpack
piórnik	pencil box	pencil case
linijka	ruler	plastic ruler
gumka	rubber	pink eraser
nożyczki	scissors	scissors on table
przerwa	break	
ocena	rate	
sprawdzian	test	math test paper
praca domowa	homework	homework on desk
powtarzać	to repeat	
notatka	note	handwritten note
zapisywać	to write down	writing down words
tłumaczyć	to translate	translation text
ćwiczenie	exercise	exercise worksheet
błąd	mistake	mistake on paper
poprawiać	to improve	
wiedza	knowledge	
nauka	science	
zawód	occupation	
inżynier	engineer	engineer at work
kierowca	driver	truck driver
sprzedawca	seller	store clerk
kucharz	cook	chef cooking
kelner	waiter	waiter serving food
fryzjer	hairdresser	hairdresser cutting hair
mechanik	mechanic	auto mechanic
rolnik	farmer	farmer with cows
pielęgniarka	nurse	nurse in hospital
dentysta	dentist	dentist with patient
architekt	architect	architect holding blueprint
dziennikarz	journalist	journalist with microphone
artysta	artist	artist painting
aktor	actor	actor on stage
muzyk	musician	musician playing guitar
pisarz	writer	writer at desk
naukowiec	scientist	scientist in lab
programista	programmer	programmer at computer
sprzedaż	sale	
zysk	profit	
strata	loss	
rynek	market	busy market street
konkurencja	competition	
reklama	advertisement	advertisement billboard
oferta	offer	
zamówienie	order	online shopping order
dostawa	delivery	delivery truck
faktura	invoice	invoice on table
negocjacje	negotiations	
prezentacja	presentation	business presentation
raport	report	business report
protokół	protocol	
termin	deadline	
harmonogram	schedule	
kalendarz	calendar	desk calendar
notes	notepad	spiral notepad
biurko	desk	office desk
teczka	folder	document folder
segregator	binder	ring binder
kod	code	
funkcja	function	
zmienna	variable	
pętla	loop	
baza danych	database	database server room
serwer	server	server rack
sieć	network	computer network
przeglądarka	browser	web browser
wyszukiwarka	search engine	search engine logo
pobierać	to download	download icon
wysyłać	to send	sending email
zapisać	to save	save file icon
usuwać	to delete	delete file icon
kopiować	to copy	copy and paste
wklejać	to paste	paste text
aplikacja	app	mobile app icon
powiadomienie	notification	phone notification
ładowarka	charger	phone charger
bateria	battery	phone battery
głośnik	loudspeaker	portable speaker
słuchawki	headphones	headphones
aparat	apparatus	camera lens
zdjęcie	photo	digital photo
nagranie	recording	audio recording
koncert	concert	live concert
zespół	band, team	music band
instrument	instrument	musical instrument
gitara	guitar	acoustic guitar
pianino	piano	piano instrument
skrzypce	violin	violin instrument
bęben	drum	drum instrument
głos	voice	
śpiewać	to sing	
grać	to play	
tańczyć	to dance	
kino	cinema	movie theater
teatr	theater	theater stage
scena	scene	theater stage
reżyser	director	film director
rola	role	
widz	spectator	movie audience
bilet do kina	cinema ticket	movie ticket
powieść	novel	
opowiadanie	story	short story book
wiersz	row	
autor	author	book author
rozdział	chapter	book chapter
tytuł	title	
okładka	cover	book cover
księgarnia	bookstore	bookstore interior
czytelnik	reader	
szachy	chess	chess board
karty	cards	playing cards
kostka	ankle	ankle injury
puzzle	jigsaw	jigsaw puzzle
gracz	player	sports player
wygrywać	to win	
przegrywać	to lose	
zasady	rules	
piłka	ball	sports ball
piłka nożna	football	soccer ball
koszykówka	basketball	basketball game
siatkówka	volleyball	volleyball game
tenis	tennis	tennis match
bieganie	running	person running
pływanie	swimming	swimming in pool
narty	skis	pair of skis
rower górski	mountain bike	mountain bike
siłownia	gym	gym interior
trening	training	sports training
trener	coach	sports coach
mięsień	muscle	human muscle
rozgrzewka	warm-up	warm up exercise
zawody	competition	sports competition
medal	medal	gold medal
puchar	cup	trophy cup
stadion	stadium	large stadium
kibic	fan	sports fan
hobby	hobby	hobby activities
ogród	garden	garden flowers
ogrodnictwo	gardening	gardening tools
malować	to paint	painting on canvas
rysować	to draw	child drawing
szyć	to sew	sewing a dress
zbierać	to collect	children collecting chestnuts
wędkarstwo	fishing	person fishing
podróżować	to travel	traveling by train
fotografia	photography	photography camera
koń	horse	horse running
krowa	cow	cow in field
świnia	pig	pig in farm
owca	sheep	sheep in field
koza	goat	goat eating grass
kura	hen	hen with eggs
kaczka	duck	duck in pond
gęś	goose	goose by water
królik	rabbit	rabbit eating carrot
mysz	mouse (animal)	mouse on floor
szczur	rat	rat in basement
niedźwiedź	bear	bear in zoo
wilk	wolf	wolf in forest
lis	fox	fox in forest
zając	hare	hare in field
jeleń	deer	deer in forest
dzik	boar	wild boar in forest
sarna	roe	roe deer in meadow
wiewiórka	squirrel	squirrel on tree
jeż	hedgehog	hedgehog in garden
lew	lion	lion in zoo
tygrys	tiger	tiger in cage
słoń	elephant	elephant in zoo
małpa	monkey	monkey in zoo
żyrafa	giraffe	giraffe in zoo
zebra	zebra	zebra in zoo
wąż	snake	snake in grass
żaba	frog	frog in pond
żółw	turtle	turtle in aquarium
jaszczurka	lizard	lizard on rock
wróbel	sparrow	sparrow on roof
gołąb	pigeon	pigeon in square
sowa	owl	owl at night
orzeł	eagle	eagle flying over mountains
sokół	falcon	falcon flying in sky
bocian	stork	stork standing in field
jaskółka	swallow	swallow flying in sky
kruk	raven	raven in park
wrona	crow	crow on roof
sikorka	titmouse	titmouse at bird feeder
dzięcioł	woodpecker	woodpecker on tree
łabędź	swan	swan on lake
mewa	seagull	seagull on beach
kurczak	chicken	raw chicken meat
pióro	feather, pen	bird feather
gniazdo	nest	bird nest
skrzydło	wing	bird wing
dziób	beak	bird beak
łosoś	salmon	salmon fish
śledź	herring	herring fish
karp	carp	carp fish
pstrąg	trout	trout fish
dorsz	cod	cod fish
tuńczyk	tuna	tuna fish
szczupak	pike	pike fish
rekin	shark	shark in water
delfin	dolphin	dolphin in zoo
wieloryb	whale	whale in ocean
krewetka	prawn	prawn on plate
łuska	husk	
płetwa	fin	fish fin
wędka	fishing rod	fishing rod
sieć rybacka	fishing net	fishing net
mucha	fly	fly on table
komar	mosquito	mosquito
pszczoła	bee	bee on flower
osa	wasp	wasp flying
mrówka	ant	ant on path
motyl	butterfly	butterfly in garden
biedronka	ladybird	ladybug on leaf
pająk	spider	spider in corner
robak	worm	worm in apple
chrząszcz	beetle	beetle on ground
konik polny	grasshopper	grasshopper in grass
ważka	dragonfly	dragonfly over water
ćma	moth	moth near lamp
gąsienica	caterpillar	caterpillar on leaf
miód	honey	honey in jar
żądło	sting	wasp stinger
roślina	plant	green plant
liść	leaf	green leaf
korzeń	root	tree root
łodyga	stalk	plant stalk
nasiono	kernel	seed in soil
trawa	grass	grass field
krzak	bush	bush in garden
mech	down	moss on stone
grzyb	mushroom	mushroom in forest
paproć	fern	fern in forest
dąb	oak	oak tree
brzoza	birch	birch tree
sosna	pine	pine tree
świerk	spruce	spruce tree
klon	maple	maple tree
wierzba	willow	willow tree
buk	beech	beech tree
lipa	lime tree	lime tree
jabłoń	apple tree	apple tree
gałąź	branch	tree branch
kora	bark	tree bark
pień	trunk	tree trunk
róża	rose	red rose
tulipan	tulip	red tulip
stokrotka	daisy	daisy flower
słonecznik	sunflower	sunflower field
mak	poppy	poppy flower
fiołek	violet	violet flower
konwalia	lily of the valley	lily of the valley
bez	lilac	lilac flowers
narcyz	narcissus	narcissus flower
goździk	carnation	carnation flower
płatek	petal	flower petal
bukiet	bouquet	flower bouquet
wazon	vase	vase with flowers
szczyt	peak	mountain peak
dolina	valley	valley landscape
skała	scale	
jaskinia	cave	cave interior
wspinaczka	climbing	rock climbing
szlak	trail	mountain trail
schronisko	shelter	mountain hut
lawina	avalanche	snow avalanche
przełęcz	pass	mountain pass
zbocze	slope	mountain slope
plaża	beach	sandy beach
fala	wave	ocean wave
piasek	sand	sand close up
muszla	seashell	seashell on beach
wyspa	island	tropical island
port	port	seaport harbor
statek	ship	cargo ship
łódź	boat	small boat
żagiel	sail	boat sail
kotwica	anchor	ship anchor
przypływ	inflow	
latarnia morska	lighthouse	lighthouse by sea
burza	storm	thunderstorm
mgła	fog	dense fog
mróz	frost	frost on grass
upał	heat	
grad	hail	hail stones
tęcza	rainbow	rainbow in sky
błyskawica	lightning	lightning bolt
grzmot	thunder	
temperatura	temperature	
prognoza	forecast	
pochmurno	cloudy	
słonecznie	sunny	
wietrznie	windy	
wilgotny	humid	humid room
suchy	dry	dry towel
mokry	wet	wet shoes
musieć	to have to	
powinien	to should	
umieć	to know how to	
potrafić	to be capable of	person running
woleć	to prefer	
próbować	to try	person tasting soup
zostać	to stay, to become	
stawać się	to become	
wydawać się	to seem	
wyglądać	to look like	woman looking attractive
przychodzić	to come	woman arriving home
wracać	to go back	person returning home
wychodzić	to go out	person leaving house
wchodzić	to come in	person entering room
przynosić	to bring	person bringing milk
zabierać	to take away	person taking away book
kłaść	to lay	placing book on table
trzymać	to keep	
rzucać	to throw	person throwing ball
ciągnąć	to pull	boy pulling wagon
pchać	to push	man pushing stroller
budować	to build	house under construction
niszczyć	to destroy	house being destroyed
naprawiać	to fix it	person fixing bicycle
zmieniać	to change	person changing shoes
sprawdzać	to check	person checking homework
wybierać	to choose	person choosing juice
decydować	to decide	
zdążyć	to be on time	
marzyć	to dream of	
śnić	to dream	
wierzyć	to believe	
ufać	to trust	
wątpić	to doubt	
zgadzać się	to agree	
odmawiać	to refuse	person refusing coffee
obiecywać	to promise	
ostrzegać	to warn	person warning of danger
radzić	to advise	person giving advice
proponować	to propose	business proposal meeting
wyjaśniać	to explain	
opowiadać	to tell	person telling a story
pytać	to ask	person asking a question
odpowiadać	to answer	person answering a question
krzyczeć	to scream	person screaming
szeptać	to whisper	person whispering
milczeć	to remain silent	
powtarzać się	to repeat myself	
przestawać	to stop	
zostawiać	to leave	keys left on table
tracić	to lose	person looking for lost phone
zyskiwać	to gain	
dzielić	to share	cutting cake in half
łączyć	to connect	cable connecting computer
oddzielać	to separate	wall separating rooms
mierzyć	to measure	measuring room with tape
ważyć	to weigh	weighing a bag on scale
liczba mnoga	plural	
koniec	end	end of movie
początek	beginning	beginning of movie
środek	middle	person sitting in the middle
przód	front	person sitting in front
tył	back	back of backpack
brzeg	edge	river bank
siła	force	
ruch	movement	traffic on street
szybkość	speed	
wysokość	height	table height
szerokość	width	table width
długość	length	length measurement
głębokość	depth	ocean depth
kształt	form	odd shape
kolor	color	color swatches
dźwięk	sound	
zapach	smell	
smak	taste	
widok	view	scenic view
obraz	picture	painting on wall
rysunek	drawing	pencil drawing
wzór	pattern	fabric pattern
znak	sign	road sign
symbol	symbol	heart symbol
numer	number	
adres	address	home address
kontynent	continent	world continent map
region	region	mountain region
teren	area	playground area
przestrzeń	space	empty space room
odcinek	episode	TV episode
warunek	condition	
zasada	principle, rule	
prawda	truth	
kłamstwo	lie	
tajemnica	mystery	
opinia	opinion	
uwaga krytyczna	critical note	
pochwała	praise	award trophy
nagroda	prize	prize ribbon
prezent	gift	wrapped gift
niespodzianka	surprise	
impreza	party	party celebration
zabawa	fun, party	children playing party
żart	joke	
uśmiech	smile	smiling face
łza	tear	tear on cheek
sen	dream, sleep	
myśl	thought	
wyobraźnia	imagination	
uwaga skupiona	focused attention	
talent	talent	
umiejętność	skill	
doświadczenie	experience	
wysiłek	effort	
odpoczynek	rest	person resting in bed
zmęczenie	tiredness	tired exhausted person
energia	energy	
siła woli	willpower	
charakter	character	
zachowanie	behavior	person behavior in class
zwyczaj	custom	
tradycja	tradition	
kultura	culture	
sztuka	piece	single apple
styl	style	clothing style
moda	fashion	fashion clothing
wygoda	convenience	
luksus	luxury	luxury car
jakość	quality	
ilość	quantity	pile of sugar
wartość	value	antique pocket watch
korzyść	advantage	
szkoda	pity	
ryzyko	risk	person riding bicycle without helmet
szansa	chance	
sukces	success	winner on stage
porada	advice	
instrukcja	instruction	user manual
ostrożnie	carefully	
głośno	loudly	
cicho	quiet	
razem z	together with	
osobno	separately	
zwykle	usually	
nagle	suddenly	
powoli	slowly	
natychmiast	immediately	
wkrótce	soon	
dawno	long time ago	
ostatnio	lately	
kiedyś	once	
zaraz	in a second	
później	later	
wcześniej	earlier	
najpierw	firstly	
wreszcie	at last	
przynajmniej	at least	
zwłaszcza	especially	
raczej	rather	
niestety	unfortunately	
na szczęście	luckily	
właśnie	exactly	
chyba	i guess	
przecież	yet	
niech	let	
aby	to	
żeby	so that	
dopóki	until	
zanim	before	
odkąd	since	
mimo	despite	
według	according to	
wobec	towards, in view of	
oprócz	apart from	
zamiast	instead	
dzięki	thanks	
wokół	around	
wzdłuż	along	
wewnątrz	inside	inside a house
na zewnątrz	outside	children playing outside
w górę	up	looking up
w dół	downwards	walking downstairs
naprzód	forward	
wstecz	backwards	
dokoła	all around	
wszędzie	everywhere	
nigdzie	nowhere	
gdzieś	somewhere	
ktoś	someone	
nikt	nobody	
coś	something	
nic	nothing	
wszyscy	everyone	
przedsięwzięcie	undertaking, venture	
przesłanka	premise	
sprzeczność	contradiction	
rozbieżność	discrepancy	
przeświadczenie	conviction	
obojętność	indifference	
zażyłość	intimacy	
powściągliwość	restraint	
wnikliwy	astute	thoughtful person
skrupulatny	meticulous	person writing carefully
nieodzowny	indispensable	
zwięzły	concise	short text summary
wyrafinowany	refined	elegant style
dosadny	blunt	blunt comment
znikomy	insignificant	
doniosły	momentous	
nieodwracalny	irreversible	
kompleksowy	complex	
zaawansowany	advanced	advanced student
przeoczyć	to overlook	
wdrożyć	to implement	
usprawnić	to streamline	
zaniechać	to give up	
podważyć	to challenge	
uwypuklić	to highlight	
nadużycie	abuse	
roszczenie	claim	
zobowiązanie	commitment	
uchwała	resolution	
rozporządzenie	ordinance	
orzeczenie	judgment	
wykroczenie	misdemeanour	
zaniedbanie	neglect	
wiarygodność	credibility	
rzetelność	reliability	
przejrzystość	clarity	
przypuszczalnie	presumably	
bezsprzecznie	undoubtedly	
wyłącznie	exclusively	
niemniej	nevertheless	
zgoła	quite, entirely	
osobliwy	quaint	quaint old house
przewrotny	perverse	perverse smile
uwarunkowanie	conditioning	
domniemanie	presumption	
domena	domain	business domain
przesłanie	message, moral	
konotacja	connotation	
implikacja	implication	
korelacja	correlation	
proporcja	proportion	proportion balance
dysproporcja	disproportion	
nierówność	inequality	
sprawiedliwość	justice	
niesprawiedliwość	injustice	
praworządność	rule of law	
suwerenność	sovereignty	
autonomia	autonomy	
kompetencja	competence	
uprawnienie	powers	
przywilej	privilege	
ustępstwo	concession	
kompromis	compromise	
rozejm	truce	ceasefire agreement
porozumienie	agreement	signed agreement
sprzeciw	objection	
zastrzeżenie	reservation, proviso	
poprawka	amendment	
załącznik	attachment	email attachment
klauzula	clause	
przepis prawny	legal provision	
wykładnia	interpretation	
precedens	precedent	
odwołanie	appeal	
egzekucja	execution	person being executed
windykacja	vindication	
niewypłacalność	insolvency	
upadłość	bankruptcy	bankruptcy sign
restrukturyzacja	restructuring	
konsolidacja	consolidation	
dywersyfikacja	diversification	
rentowność	profitability	
płynność	liquidity	
amortyzacja	depreciation	car depreciation chart
prognoza finansowa	financial forecast	financial forecast chart
wskaźnik	indicator	rising indicator chart
miernik	gauge	measuring gauge
odchylenie	deviation	
tolerancja błędu	error tolerance	
przybliżenie	approximation	
uściślenie	clarification	
sprostowanie	rectification	newspaper correction notice
uzupełnienie	supplement	
przypis	footnote	book footnote
bibliografia	bibliography	stack of books bibliography
cytat	quote	quoted text speech bubbles
parafraza	paraphrase	paraphrased text document
plagiat	plagiarism	
recenzja naukowa	scientific review	scientific journal article
rozprawa naukowa	treatise	academic thesis paper
konspekt	synopsis	study notes on desk
teza	thesis, claim	
antyteza	antithesis	
paradoks	paradox	
metafora	metaphor	
alegoria	allegory	allegory illustration book
ironia	irony	
sarkazm	sarcasm	
aluzja	allusion	
insynuacja	innuendo	
oszczerstwo	slander	
zniesławienie	defamation	
sprostowanie prasowe	press correction	newspaper correction notice
wiarygodne źródło	reliable source	trusted source book
dezinformacja	disinformation	
propaganda	propaganda	political propaganda poster
manipulacja	manipulation	
perswazja	persuasion	
retoryka	rhetoric	
elokwencja	eloquence	
erudycja	erudition	
dociekliwość	inquisitiveness	
przenikliwość	penetration	
rozwaga	consideration	
