# Core Polish vocabulary, ordered by approximate frequency in modern spoken and written use.
# Line order within this file IS the frequency rank, so inserting a word shifts everything after it.
# Columns: polish <TAB> english <TAB> pos <TAB> cefr <TAB> topics (comma separated, may be empty)
# pos: n v adj adv prn num prep conj part interj expr
i	and	conj	A1
dzwonić	to call, to ring	v	A1	smartphone
pisać wiadomość	to write a message	expr	A2	smartphone
spotykać	to meet	v	A1	relationships
poznawać	to get to know	v	A1	introductions
zapraszać	to invite	v	A2	relationships
pomoc	help	n	A1	emergency
problem	problem	n	A1
sprawa	matter, affair	n	A2
powód	reason	n	B1
wynik	result	n	B1
przykład	example	n	A2
rzecz	thing	n	A1
część	part	n	A2
grupa	group	n	A1
liczba	number	n	A1	numbers
poziom	level	n	B1
stan	state, condition	n	B1
zmiana	change	n	A2
możliwość	possibility	n	B1
potrzeba	need	n	B1
pomysł	idea	n	A2
plan	plan	n	A1
cel	goal	n	A2
wybór	choice	n	B1
decyzja	decision	n	B1
prawo	law, right	n	A2	law
władza	power, authority	n	B2	politics
rząd	government	n	B1	politics
państwo	state, country	n	A2	politics,countries
firma	company	n	A1	business
pracownik	employee	n	A2	work,professions
szef	boss	n	A1	work,office
klient	client	n	A2	business
umowa	contract	n	B1	business
spotkanie	meeting	n	A2	meetings
projekt	project	n	A2	work
zadanie	task	n	A2	work,studying
wiadomość	message, news	n	A1	smartphone
gazeta	newspaper	n	A1	books
telewizja	television	n	A1	movies
radio	radio	n	A1	music
film	film	n	A1	movies
muzyka	music	n	A1	music
piosenka	song	n	A1	music
gra	game	n	A1	games
sport	sport	n	A1	sports
mecz	match	n	A1	sports
drużyna	team	n	A2	sports
zwierzę	animal	n	A1	animals
pies	dog	n	A1	animals
kot	cat	n	A1	animals
ptak	bird	n	A1	birds
drzewo	tree	n	A1	trees,nature
kwiat	flower	n	A1	flowers,nature
las	forest	n	A1	forest,nature
góra	mountain	n	A1	mountains,nature
morze	sea	n	A1	sea,nature
rzeka	river	n	A1	nature
jezioro	lake	n	A1	nature
pole	field	n	A1	nature
niebo	sky	n	A1	nature,weather
słońce	sun	n	A1	weather,nature
księżyc	moon	n	A1	nature
gwiazda	star	n	A1	nature
deszcz	rain	n	A1	weather
śnieg	snow	n	A1	weather
wiatr	wind	n	A1	weather
chmura	cloud	n	A1	weather,internet
pogoda	weather	n	A1	weather
ciepło	warmth, warm	adv	A1	weather
zimno	cold	adv	A1	weather
gorąco	hot	adv	A1	weather
ciepły	warm	adj	A1	weather
zimny	cold	adj	A1	weather
gorący	hot	adj	A1	weather
biały	white	adj	A1	colors
czarny	black	adj	A1	colors
czerwony	red	adj	A1	colors
zielony	green	adj	A1	colors
niebieski	blue	adj	A1	colors
żółty	yellow	adj	A1	colors
szary	grey	adj	A1	colors
brązowy	brown	adj	A1	colors
różowy	pink	adj	A1	colors
pomarańczowy	orange	adj	A1	colors
długi	long	adj	A1	shapes
krótki	short	adj	A1	shapes
wysoki	tall, high	adj	A1	appearance,shapes
niski	low, short	adj	A1	appearance,shapes
szeroki	wide	adj	A2	shapes
wąski	narrow	adj	A2	shapes
gruby	thick, fat	adj	A1	appearance
cienki	thin	adj	A2	shapes
ciężki	heavy	adj	A1
lekki	light (weight)	adj	A1
mocny	strong	adj	A1
słaby	weak	adj	A1
stary	old	adj	A1	appearance
młody	young	adj	A1	appearance
piękny	beautiful	adj	A1	appearance
brzydki	ugly	adj	A1	appearance
ładny	pretty	adj	A1	appearance
miły	nice, kind	adj	A1	personality
zły	bad, angry	adj	A1	personality,emotions
wesoły	cheerful	adj	A2	personality,emotions
smutny	sad	adj	A1	emotions
szczęśliwy	happy	adj	A1	emotions
zmęczony	tired	adj	A1	health,emotions
głodny	hungry	adj	A1	food
spragniony	thirsty	adj	A2	drinks
chory	ill	adj	A1	health
zdrowy	healthy	adj	A1	health
ważny	important	adj	A1
ciekawy	interesting, curious	adj	A1	personality
nudny	boring	adj	A1
łatwy	easy	adj	A1
trudny	difficult	adj	A1
możliwy	possible	adj	B1
prawdziwy	true, real	adj	A2
pewny	certain	adj	A2
gotowy	ready	adj	A1
wolny	free, slow	adj	A1
zajęty	busy	adj	A1	work
otwarty	open	adj	A1	shopping
zamknięty	closed	adj	A1	shopping
pusty	empty	adj	A2
pełny	full	adj	A2
czysty	clean	adj	A1	household
brudny	dirty	adj	A1	household
głowa boli	headache	expr	A2	health
lekarz	doctor	n	A1	health,professions
szpital	hospital	n	A1	hospital,health
apteka	pharmacy	n	A1	pharmacy,health
lekarstwo	medicine	n	A1	medicine,pharmacy
ból	pain	n	A1	health
choroba	illness	n	A1	health
zdrowie	health	n	A1	health
ciało	body	n	A1	body
serce	heart	n	A1	body,emotions
noga	leg, foot	n	A1	body
palec	finger	n	A1	body
ucho	ear	n	A1	body
nos	nose	n	A1	body
usta	mouth	n	A1	body
ząb	tooth	n	A1	body
włosy	hair	n	A1	body,appearance
twarz	face	n	A1	body,appearance
plecy	back	n	A1	body
brzuch	belly	n	A1	body
krew	blood	n	A2	body,medicine
skóra	skin	n	A2	body
kość	bone	n	A2	body
ubranie	clothing	n	A1	clothing
koszula	shirt	n	A1	clothing
spodnie	trousers	n	A1	clothing
sukienka	dress	n	A1	clothing
spódnica	skirt	n	A1	clothing
kurtka	jacket	n	A1	clothing
płaszcz	coat	n	A1	clothing
sweter	sweater	n	A1	clothing
buty	shoes	n	A1	clothing
czapka	cap, hat	n	A1	clothing
szalik	scarf	n	A1	clothing
rękawiczki	gloves	n	A2	clothing
skarpetki	socks	n	A1	clothing
pokój	room	n	A1	home,hotel
kuchnia	kitchen	n	A1	home,cooking
łazienka	bathroom	n	A1	home
sypialnia	bedroom	n	A1	home
salon	living room	n	A1	home
okno	window	n	A1	home
drzwi	door	n	A1	home
ściana	wall	n	A1	home
podłoga	floor	n	A1	home
sufit	ceiling	n	A2	home
stół	table	n	A1	home,household
krzesło	chair	n	A1	home,household
łóżko	bed	n	A1	home,household
szafa	wardrobe	n	A1	home,household
lampa	lamp	n	A1	home,household
lodówka	fridge	n	A1	household,cooking
kuchenka	cooker	n	A2	household,cooking
zlew	sink	n	A2	household
talerz	plate	n	A1	household,cooking
kubek	mug	n	A1	household,drinks
szklanka	glass	n	A1	household,drinks
widelec	fork	n	A1	household,cooking
nóż	knife	n	A1	household,cooking
łyżka	spoon	n	A1	household,cooking
garnek	pot	n	A2	cooking,household
patelnia	frying pan	n	A2	cooking,household
komputer	computer	n	A1	computer
telefon	telephone	n	A1	smartphone
internet	internet	n	A1	internet
strona internetowa	website	n	A2	internet
hasło	password	n	A2	internet,computer
plik	file	n	A2	computer
program	programme	n	A1	computer,programming
ekran	screen	n	A1	computer,smartphone
klawiatura	keyboard	n	A2	computer
myszka	mouse	n	A2	computer
drukarka	printer	n	A2	computer,office
biuro	office	n	A1	office,work
dokument	document	n	A2	office
podpis	signature	n	B1	office
list	letter	n	A1	office
koperta	envelope	n	A2	office
paczka	parcel	n	A2	shopping
poczta	post office	n	A1	cities
bank	bank	n	A1	finance
konto	account	n	A2	finance
karta	card	n	A1	finance,shopping
gotówka	cash	n	A2	finance
rachunek	bill	n	A2	finance,shopping
podatek	tax	n	B1	finance
kredyt	loan	n	B1	finance
oszczędzać	to save (money)	v	B1	finance
zarabiać	to earn	v	A2	finance,work
wydawać	to spend	v	A2	finance
lotnisko	airport	n	A1	airport,travel
dworzec	station	n	A1	transport,travel
przystanek	stop	n	A1	transport
bilet	ticket	n	A1	transport,travel
bagaż	luggage	n	A1	airport,travel
walizka	suitcase	n	A1	travel
paszport	passport	n	A1	airport,travel
hotel	hotel	n	A1	hotel,travel
recepcja	reception	n	A2	hotel
klucz	key	n	A1	hotel,home
rezerwacja	reservation	n	A2	hotel,travel
wakacje	holidays	n	A1	tourism,travel
podróż	journey	n	A1	travel,tourism
wycieczka	trip	n	A1	tourism
zwiedzać	to sightsee	v	A2	tourism
mapa	map	n	A1	directions,travel
lewo	left	adv	A1	directions
prawo	right (direction)	adv	A1	directions
prosto	straight ahead	adv	A1	directions
blisko	near	adv	A1	directions
daleko	far	adv	A1	directions
północ	north, midnight	n	A2	directions,time
południe	south, noon	n	A2	directions,time
wschód	east, sunrise	n	A2	directions
zachód	west, sunset	n	A2	directions
policja	police	n	A1	police,emergency
policjant	police officer	n	A1	police,professions
straż pożarna	fire brigade	n	A2	emergency
pogotowie	ambulance service	n	A2	emergency,hospital
wypadek	accident	n	A2	emergency
niebezpieczny	dangerous	adj	A2	emergency
bezpieczny	safe	adj	A2	emergency
ratować	to rescue	v	B1	emergency
uwaga	attention, careful	n	A1	emergency
sąd	court	n	B1	law
adwokat	lawyer	n	B1	law,professions
świadek	witness	n	B1	law
kara	punishment, fine	n	B1	law
wina	guilt, fault	n	B1	law
kradzież	theft	n	B1	law,police
przestępstwo	crime	n	B2	law,police
wybory	election	n	B1	politics
prezydent	president	n	A2	politics
minister	minister	n	B1	politics
partia	party (political)	n	B1	politics
głosować	to vote	v	B1	politics
obywatel	citizen	n	B1	politics
granica	border	n	A2	countries,travel
uniwersytet	university	n	A1	university
wykład	lecture	n	A2	university
profesor	professor	n	A2	university,professions
studia	studies	n	A2	university,studying
dyplom	diploma	n	B1	university
stopień	degree, step	n	B1	university
biblioteka	library	n	A1	university,books
sala	hall, room	n	A1	classroom,university
tablica	board	n	A2	classroom
kreda	chalk	n	B1	classroom
plecak	backpack	n	A1	classroom,travel
piórnik	pencil case	n	A2	classroom
linijka	ruler	n	A2	classroom
gumka	eraser	n	A2	classroom
nożyczki	scissors	n	A2	classroom,household
przerwa	break	n	A1	school
ocena	grade	n	A2	school,studying
sprawdzian	test	n	A2	school,studying
praca domowa	homework	n	A1	school,studying
powtarzać	to repeat, to revise	v	A2	studying
notatka	note	n	A2	studying,office
zapisywać	to write down	v	A2	studying
tłumaczyć	to translate, to explain	v	A2	studying
ćwiczenie	exercise	n	A2	studying,fitness
błąd	mistake	n	A1	studying
poprawiać	to correct	v	A2	studying
wiedza	knowledge	n	B1	studying
nauka	science, learning	n	A2	studying
zawód	profession	n	A2	professions
inżynier	engineer	n	A2	professions
kierowca	driver	n	A1	professions,transport
sprzedawca	shop assistant	n	A2	professions,shopping
kucharz	cook	n	A1	professions,cooking
kelner	waiter	n	A1	professions,food
fryzjer	hairdresser	n	A2	professions
mechanik	mechanic	n	A2	professions
rolnik	farmer	n	A2	professions
pielęgniarka	nurse	n	A2	professions,hospital
dentysta	dentist	n	A2	professions,health
architekt	architect	n	B1	professions
dziennikarz	journalist	n	B1	professions
artysta	artist	n	A2	professions
aktor	actor	n	A1	professions,movies
muzyk	musician	n	A2	professions,music
pisarz	writer	n	A2	professions,books
naukowiec	scientist	n	B1	professions
programista	programmer	n	A2	professions,programming
sprzedaż	sale	n	B1	business
zysk	profit	n	B1	business,finance
strata	loss	n	B1	business,finance
rynek	market	n	B1	business
konkurencja	competition	n	B2	business
reklama	advertisement	n	A2	business
oferta	offer	n	A2	business
zamówienie	order	n	A2	business,shopping
dostawa	delivery	n	B1	business,shopping
faktura	invoice	n	B1	business,finance
negocjacje	negotiations	n	B2	business,meetings
prezentacja	presentation	n	A2	meetings,office
raport	report	n	B1	office,meetings
protokół	minutes, protocol	n	B2	meetings
termin	deadline, term	n	A2	work,office
harmonogram	schedule	n	B2	work,meetings
kalendarz	calendar	n	A1	time,office
notes	notepad	n	A2	office
biurko	desk	n	A1	office,household
teczka	folder	n	A2	office
segregator	binder	n	B1	office
kod	code	n	A2	programming,computer
funkcja	function	n	B1	programming
zmienna	variable	n	B1	programming
pętla	loop	n	B1	programming
baza danych	database	n	B1	programming,computer
serwer	server	n	B1	computer,internet
sieć	network	n	A2	internet,computer
przeglądarka	browser	n	A2	internet
wyszukiwarka	search engine	n	A2	internet
pobierać	to download	v	A2	internet,computer
wysyłać	to send	v	A1	internet,smartphone
zapisać	to save	v	A2	computer
usuwać	to delete	v	A2	computer
kopiować	to copy	v	A2	computer
wklejać	to paste	v	B1	computer
aplikacja	application	n	A2	smartphone,computer
powiadomienie	notification	n	B1	smartphone
ładowarka	charger	n	A2	smartphone
bateria	battery	n	A2	smartphone
głośnik	speaker	n	A2	smartphone,music
słuchawki	headphones	n	A1	music,smartphone
aparat	camera	n	A1	smartphone
zdjęcie	photo	n	A1	smartphone,hobbies
nagranie	recording	n	B1	music
koncert	concert	n	A1	music
zespół	band, team	n	A2	music,work
instrument	instrument	n	A2	music
gitara	guitar	n	A1	music
pianino	piano	n	A1	music
skrzypce	violin	n	A2	music
bęben	drum	n	B1	music
głos	voice	n	A1	music,body
śpiewać	to sing	v	A1	music
grać	to play	v	A1	music,games
tańczyć	to dance	v	A1	hobbies
kino	cinema	n	A1	movies
teatr	theatre	n	A1	movies,hobbies
scena	stage, scene	n	A2	movies
reżyser	director	n	B1	movies,professions
rola	role	n	A2	movies
widz	viewer	n	B1	movies
bilet do kina	cinema ticket	expr	A2	movies
powieść	novel	n	B1	books
opowiadanie	short story	n	B1	books
wiersz	poem	n	B1	books
autor	author	n	A2	books
rozdział	chapter	n	A2	books
tytuł	title	n	A1	books,movies
okładka	cover	n	B1	books
księgarnia	bookshop	n	A2	books,shopping
czytelnik	reader	n	B1	books
szachy	chess	n	A2	games
karty	cards	n	A1	games
kostka	dice, cube	n	A2	games,shapes
puzzle	jigsaw	n	A2	games
gracz	player	n	A2	games,sports
wygrywać	to win	v	A1	games,sports
przegrywać	to lose	v	A1	games,sports
zasady	rules	n	A2	games,law
piłka	ball	n	A1	sports
piłka nożna	football	n	A1	sports
koszykówka	basketball	n	A2	sports
siatkówka	volleyball	n	A2	sports
tenis	tennis	n	A1	sports
bieganie	running	n	A2	sports,fitness
pływanie	swimming	n	A2	sports,fitness
narty	skis	n	A2	sports
rower górski	mountain bike	n	B1	sports
siłownia	gym	n	A2	fitness
trening	training	n	A2	fitness,sports
trener	coach	n	A2	sports,professions
mięsień	muscle	n	B1	body,fitness
rozgrzewka	warm-up	n	B1	fitness
zawody	competition	n	A2	sports
medal	medal	n	A2	sports
puchar	cup, trophy	n	A2	sports
stadion	stadium	n	A2	sports,cities
kibic	fan	n	B1	sports
hobby	hobby	n	A1	hobbies
ogród	garden	n	A1	hobbies,home
ogrodnictwo	gardening	n	B1	hobbies
malować	to paint	v	A1	hobbies
rysować	to draw	v	A1	hobbies
szyć	to sew	v	A2	hobbies
zbierać	to collect	v	A2	hobbies
wędkarstwo	fishing	n	B1	hobbies,fish
podróżować	to travel	v	A1	travel,tourism
fotografia	photography	n	A2	hobbies
koń	horse	n	A1	animals
krowa	cow	n	A1	animals
świnia	pig	n	A1	animals
owca	sheep	n	A1	animals
koza	goat	n	A2	animals
kura	hen	n	A1	animals,birds
kaczka	duck	n	A1	animals,birds
gęś	goose	n	A2	animals,birds
królik	rabbit	n	A1	animals
mysz	mouse (animal)	n	A1	animals
szczur	rat	n	A2	animals
niedźwiedź	bear	n	A1	animals,forest
wilk	wolf	n	A1	animals,forest
lis	fox	n	A1	animals,forest
zając	hare	n	A2	animals,forest
jeleń	deer	n	A2	animals,forest
dzik	wild boar	n	B1	animals,forest
sarna	roe deer	n	B1	animals,forest
wiewiórka	squirrel	n	A2	animals,forest
jeż	hedgehog	n	B1	animals
lew	lion	n	A1	animals
tygrys	tiger	n	A1	animals
słoń	elephant	n	A1	animals
małpa	monkey	n	A1	animals
żyrafa	giraffe	n	A2	animals
zebra	zebra	n	A2	animals
wąż	snake	n	A2	animals
żaba	frog	n	A1	animals
żółw	turtle	n	A2	animals
jaszczurka	lizard	n	B1	animals
wróbel	sparrow	n	B1	birds
gołąb	pigeon	n	A2	birds
sowa	owl	n	A2	birds,forest
orzeł	eagle	n	A2	birds
sokół	falcon	n	B1	birds
bocian	stork	n	A2	birds
jaskółka	swallow	n	B1	birds
kruk	raven	n	B1	birds
wrona	crow	n	B1	birds
sikorka	tit	n	B2	birds
dzięcioł	woodpecker	n	B2	birds,forest
łabędź	swan	n	B1	birds
mewa	seagull	n	B1	birds,sea
kurczak	chicken	n	A1	birds,food
pióro	feather, pen	n	A2	birds
gniazdo	nest	n	B1	birds
skrzydło	wing	n	A2	birds,body
dziób	beak	n	B2	birds
łosoś	salmon	n	A2	fish,food
śledź	herring	n	A2	fish,food
karp	carp	n	A2	fish,food
pstrąg	trout	n	B1	fish
dorsz	cod	n	B1	fish,food
tuńczyk	tuna	n	A2	fish,food
szczupak	pike	n	B2	fish
rekin	shark	n	A2	fish,sea
delfin	dolphin	n	A2	sea
wieloryb	whale	n	A2	sea
krewetka	shrimp	n	B1	fish,food
łuska	scale (fish)	n	C1	fish
płetwa	fin	n	B2	fish,sea
wędka	fishing rod	n	B1	fish,hobbies
sieć rybacka	fishing net	n	C1	fish
mucha	fly	n	A2	insects
komar	mosquito	n	A2	insects
pszczoła	bee	n	A1	insects
osa	wasp	n	A2	insects
mrówka	ant	n	A1	insects
motyl	butterfly	n	A1	insects
biedronka	ladybird	n	B1	insects
pająk	spider	n	A1	insects
robak	worm, bug	n	A2	insects
chrząszcz	beetle	n	B2	insects
konik polny	grasshopper	n	B2	insects
ważka	dragonfly	n	C1	insects
ćma	moth	n	B2	insects
gąsienica	caterpillar	n	B1	insects
ul	beehive	n	B2	insects
miód	honey	n	A1	food,insects
żądło	sting	n	C1	insects
roślina	plant	n	A2	plants,nature
liść	leaf	n	A1	plants,trees
korzeń	root	n	B1	plants
łodyga	stem	n	B2	plants
nasiono	seed	n	B1	plants
trawa	grass	n	A1	plants,nature
krzak	bush	n	B1	plants,nature
mech	moss	n	B2	plants,forest
grzyb	mushroom	n	A2	plants,forest,food
paproć	fern	n	C1	plants,forest
dąb	oak	n	A2	trees,forest
brzoza	birch	n	A2	trees,forest
sosna	pine	n	A2	trees,forest
świerk	spruce	n	B1	trees,forest
klon	maple	n	B1	trees
wierzba	willow	n	B1	trees
buk	beech	n	B2	trees,forest
lipa	linden	n	B1	trees
jabłoń	apple tree	n	B1	trees
gałąź	branch	n	A2	trees,plants
kora	bark	n	B2	trees
pień	trunk	n	B1	trees
róża	rose	n	A1	flowers
tulipan	tulip	n	A2	flowers
stokrotka	daisy	n	B1	flowers
słonecznik	sunflower	n	A2	flowers
mak	poppy	n	B1	flowers
fiołek	violet	n	B2	flowers
konwalia	lily of the valley	n	C1	flowers
bez	lilac	n	B2	flowers
narcyz	daffodil	n	B2	flowers
goździk	carnation	n	B2	flowers
płatek	petal	n	B1	flowers
bukiet	bouquet	n	A2	flowers
wazon	vase	n	A2	flowers,household
szczyt	peak, summit	n	A2	mountains
dolina	valley	n	A2	mountains,nature
skała	rock	n	A2	mountains,nature
jaskinia	cave	n	B1	mountains,nature
wspinaczka	climbing	n	B1	mountains,sports
szlak	trail	n	B1	mountains,tourism
schronisko	mountain hut	n	B1	mountains,tourism
lawina	avalanche	n	B2	mountains,emergency
przełęcz	mountain pass	n	C1	mountains
zbocze	slope	n	B2	mountains
plaża	beach	n	A1	sea,tourism
fala	wave	n	A2	sea,nature
piasek	sand	n	A1	sea,nature
muszla	shell	n	B1	sea
wyspa	island	n	A2	sea,nature
port	port	n	A2	sea,cities
statek	ship	n	A1	sea,transport
łódź	boat	n	A1	sea,transport
żagiel	sail	n	B1	sea
kotwica	anchor	n	B2	sea
przypływ	tide	n	C1	sea
latarnia morska	lighthouse	n	B2	sea
burza	storm	n	A2	weather
mgła	fog	n	A2	weather
mróz	frost	n	A2	weather
